стимул,ассоциация,частота,часть речи стимула,граммемы стимула,лемма,часть речи ассоциации,граммемы ассоциации,эпидигматика и формальная связь,RuWordNet,сем.группа стимула_НКРЯ,сем.группа ассоциации_НКРЯ,общая ЛСГ,FB_точные примеры,FB_констр стимула,FB_констр ассоциации,FB_ пересечение,FB_ ролевая связь,синтаксическая разметка,устойчивость,концептуальная частота,Dice Score,Delta P,PMI,Wu Palmer,косинусное сходство_Sentence‑BERT ,тип связи																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
"анализ,ситуации,4,S,""S,муж,неод=(вин,ед|им,ед)"",ситуация,S,""S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"", ,,непредметные имена: ментальная сфера,, , ,,, ,, ,нет,7.0,0.01670644391408115,0.01335631088981001,4.355610978408483,0.0,0.6237253546714783,синтагматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,слова,4,S,""S,муж,неод=(вин,ед|им,ед)"",слово,S,""S,сред,неод=(вин,мн|род,ед|им,мн)"", ,,непредметные имена: ментальная сфера,""предметные имена: тексты, непредметные имена: речь"", , ,,99i11_играть словами"; 99i9_бросать слова на ветер; 99i1_бросаться словами / обещаниями; 99i15_дать слово кому-л.; 99i1_предоставить слово кому-л.; 99i12_кто-л. не лезет за словом в карман; 99i2_лишить кого-л. слова; 99i2_иметь слово; 99i2_прийтись к слову; 99i4_ловить кого-л. на слове; 99i2_верить кому-л. на слово; 99i2_искать слова; 99i5_держать обещание/слово; 99i3_глотать слова; 99i5_глотать каждое слово кого-л.; 99i2_благодарю на добром слове!; 99i1_вложить мысли / слова в уста кого-л.; 99i6_[не] уметь/[не] мочь связать двух слов; 99i7_брать слово; 99i2_сдержать слово/обещание; 99i13_брать обещание/слово с кого-л.; 99i3_тащить слово / ответ / признание клещами из кого-л.; 99i9_не говоря худого/дурного слова; 99i2_просить слова, ,,атрибутивное,нет,5.0,0.003951007506914263,0.005918752231262528,1.286640927602419,0.0,0.5565248131752014,синтаксический;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,текст,4,S,""S,муж,неод=(вин,ед|им,ед)"",текст,S,""S,муж,неод=(вин,ед|им,ед)"", ,,непредметные имена: ментальная сфера,""предметные имена: множества и совокупности объектов, предметные имена: тексты"", , ,,, ,, ,нет,11.0,0.026378896882494,0.02138852958580368,5.024811852779385,0.0,0.5624428391456604,парадигматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,мышление,3,S,""S,муж,неод=(вин,ед|им,ед)"",мышление,S,""S,сред,неод=(вин,ед|им,ед)"", ,,непредметные имена: ментальная сфера,""непредметные имена: ментальная сфера, непредметные имена: отглагольные"",непредметные имена: ментальная сфера, ,,, ,, ,нет,3.0,0.01041666666666667,0.005862297703341167,5.271573479513477,0.2,0.5971546173095703,парадигматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,программы,3,S,""S,муж,неод=(вин,ед|им,ед)"",программа,S,""S,жен,неод=(вин,мн|род,ед|им,мн)"", ,,непредметные имена: ментальная сфера,""предметные имена: тексты, непредметные имена: мереология_часть_квант_множество, непредметные имена: ментальная сфера, предметные имена: множества и совокупности объектов"",непредметные имена: ментальная сфера, ,,, ,,атрибутивное,нет,3.0,0.008875739644970414,0.005659964805023565,4.070754470125381,0.0,0.6767528057098389,синтаксический / тематический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,разбор,3,S,""S,муж,неод=(вин,ед|им,ед)"",разбор,S,""S,муж,неод=(вин,ед|им,ед)"", ,гипероним,непредметные имена: ментальная сфера,""непредметные имена: отглагольные, непредметные имена: физическое воздействие, непредметные имена: ментальная сфера"",непредметные имена: ментальная сфера, ,,99i3_прийти к шапочному разбору, ,, ,нет,3.0,0.01167315175097276,0.00598774410029808,7.63146942459986,1.0,0.6634598970413208,парадигматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,ситуация,3,S,""S,муж,неод=(вин,ед|им,ед)"",ситуация,S,""S,жен,неод=им,ед"", ,,непредметные имена: ментальная сфера,, , ,,, ,, ,нет,7.0,0.01670644391408115,0.01335631088981001,4.355610978408483,0.0,0.574422299861908,парадигматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,статистика,3,S,""S,муж,неод=(вин,ед|им,ед)"",статистика,S,""S,жен,неод=им,ед / S,муж,од=(вин,ед|род,ед)"", ,,непредметные имена: ментальная сфера,, , ,,, ,, ,нет,4.0,0.01553398058252427,0.007991752116330143,7.953397519487222,0.3076923076923077,0.6928613185882568,парадигматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,тест,3,S,""S,муж,неод=(вин,ед|им,ед)"",тест,S,""S,муж,неод=(вин,ед|им,ед) / S,сред,неод=род,мн"", ,,непредметные имена: ментальная сфера,непредметные имена: ментальная сфера,непредметные имена: ментальная сфера, ,,, ,, ,нет,3.0,0.007425742574257425,0.00539288537924433,3.266896992304004,0.4,0.7493091821670532,парадигматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,химия,3,S,""S,муж,неод=(вин,ед|им,ед)"",химия,S,""S,жен,неод=им,ед"", ,,непредметные имена: ментальная сфера,""предметные имена: имена классов, предметные имена: множества и совокупности объектов"", , ,,, ,, ,нет,3.0,0.01067615658362989,0.005890624309105631,5.561080096708462,0.1666666666666667,0.503240704536438,парадигматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"анализ,анализы,2,S,""S,муж,неод=(вин,ед|им,ед)"",анализ,S,""S,муж,неод=(вин,мн|им,мн)"",грамматическая (формы слова),синоним,непредметные имена: ментальная сфера,непредметные имена: ментальная сфера,непредметные имена: ментальная сфера, ,,, ,, ,нет,2.0,0.006201550387596899,0.003716656658486781,3.763572960607205,1.0,0.982688844203949,грамматический";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
